Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_correct,Number_missing,Number_spurious,Number_overlap,Strict_precision,Strict_recall,Strict_F1,Lenient_F1,Average_F1,Elapsed_Time_training,Elapsed_Time_testing
[start],2,9,Paum,accident,a,20110511_115521,4,1,2,0,0.6666666666666666,0.8,0.7272727272727272,0.7272727272727272,0.7272727272727272,23367,2110
[start],2,10,Paum,accident,a,20110511_115521,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,23367,2110
[start],3,1,Paum,accident,a,20110511_120334,5,0,0,0,1.0,1.0,1.0,1.0,1.0,24407,2126
[start],3,2,Paum,accident,a,20110511_120334,5,0,4,0,0.5555555555555556,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,24407,2126
[start],3,3,Paum,accident,a,20110511_120334,5,0,6,0,0.45454545454545453,1.0,0.625,0.625,0.625,24407,2126
[start],3,4,Paum,accident,a,20110511_120334,4,0,5,0,0.4444444444444444,1.0,0.6153846153846153,0.6153846153846153,0.6153846153846153,24407,2126
[start],3,5,Paum,accident,a,20110511_120334,3,0,1,0,0.75,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,24407,2126
[start],3,6,Paum,accident,a,20110511_120334,4,0,4,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,24407,2126
[start],3,7,Paum,accident,a,20110511_120334,4,1,1,0,0.8,0.8,0.8000000000000002,0.8000000000000002,0.8000000000000002,24407,2126
[start],3,8,Paum,accident,a,20110511_120334,4,0,1,0,0.8,1.0,0.888888888888889,0.888888888888889,0.888888888888889,24407,2126
[start],3,9,Paum,accident,a,20110511_120334,2,0,1,0,0.6666666666666666,1.0,0.8,0.8,0.8,24407,2126
[start],3,10,Paum,accident,a,20110511_120334,5,0,5,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,24407,2126
[start],3,1,ILP_config,accident,a,20110511_120334,5,0,0,0,1.0,1.0,1.0,1.0,1.0,290642,7178
[start],3,2,ILP_config,accident,a,20110511_120334,4,1,1,0,0.8,0.8,0.8000000000000002,0.8000000000000002,0.8000000000000002,290642,7178
[start],3,3,ILP_config,accident,a,20110511_120334,4,1,0,0,1.0,0.8,0.888888888888889,0.888888888888889,0.888888888888889,290642,7178
[start],3,4,ILP_config,accident,a,20110511_120334,4,0,0,0,1.0,1.0,1.0,1.0,1.0,290642,7178
[start],3,5,ILP_config,accident,a,20110511_120334,3,0,0,0,1.0,1.0,1.0,1.0,1.0,290642,7178
[start],3,6,ILP_config,accident,a,20110511_120334,3,1,0,0,1.0,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,290642,7178
[start],3,7,ILP_config,accident,a,20110511_120334,4,1,1,0,0.8,0.8,0.8000000000000002,0.8000000000000002,0.8000000000000002,290642,7178
[start],3,8,ILP_config,accident,a,20110511_120334,2,2,0,0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,290642,7178
[start],3,9,ILP_config,accident,a,20110511_120334,2,0,0,0,1.0,1.0,1.0,1.0,1.0,290642,7178
[start],3,10,ILP_config,accident,a,20110511_120334,5,0,0,0,1.0,1.0,1.0,1.0,1.0,290642,7178
[start],4,1,Paum,accident,a,20110511_121140,3,1,2,0,0.6,0.75,0.6666666666666665,0.6666666666666665,0.6666666666666665,25514,2138
[start],4,2,Paum,accident,a,20110511_121140,5,0,2,0,0.7142857142857143,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,25514,2138
[start],4,3,Paum,accident,a,20110511_121140,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,25514,2138
[start],4,4,Paum,accident,a,20110511_121140,4,0,1,0,0.8,1.0,0.888888888888889,0.888888888888889,0.888888888888889,25514,2138
[start],4,5,Paum,accident,a,20110511_121140,5,0,2,0,0.7142857142857143,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,25514,2138
[start],4,6,Paum,accident,a,20110511_121140,4,0,4,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,25514,2138
[start],4,7,Paum,accident,a,20110511_121140,4,0,0,0,1.0,1.0,1.0,1.0,1.0,25514,2138
[start],4,8,Paum,accident,a,20110511_121140,4,0,4,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,25514,2138
[start],4,9,Paum,accident,a,20110511_121140,4,0,3,0,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,25514,2138
[start],4,10,Paum,accident,a,20110511_121140,3,0,3,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,25514,2138
[start],4,1,ILP_config,accident,a,20110511_121140,3,1,1,0,0.75,0.75,0.75,0.75,0.75,274566,7121
[start],4,2,ILP_config,accident,a,20110511_121140,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,274566,7121
[start],4,3,ILP_config,accident,a,20110511_121140,5,0,0,0,1.0,1.0,1.0,1.0,1.0,274566,7121
[start],4,4,ILP_config,accident,a,20110511_121140,4,0,0,0,1.0,1.0,1.0,1.0,1.0,274566,7121
