Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_correct,Number_missing,Number_spurious,Number_overlap,Strict_precision,Strict_recall,Strict_F1,Lenient_F1,Average_F1,Elapsed_Time_training,Elapsed_Time_testing
[amateur_unit],1,7,ILP_config,accident,a,20110516_141747,1,0,0,0,1.0,1.0,1.0,1.0,1.0,272989,7304
[amateur_unit],1,8,ILP_config,accident,a,20110516_141747,2,0,1,0,0.6666666666666666,1.0,0.8,0.8,0.8,272989,7304
[amateur_unit],1,9,ILP_config,accident,a,20110516_141747,0,0,3,0,0.0,1.0,0.0,0.0,0.0,272989,7304
[amateur_unit],1,10,ILP_config,accident,a,20110516_141747,6,0,0,0,1.0,1.0,1.0,1.0,1.0,272989,7304
[amateur_unit],2,1,ILP_config_NE_roots_subtree,accident,a,20110516_142800,2,0,0,0,1.0,1.0,1.0,1.0,1.0,46342,6255
[amateur_unit],2,2,ILP_config_NE_roots_subtree,accident,a,20110516_142800,2,0,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333333,46342,6255
[amateur_unit],2,3,ILP_config_NE_roots_subtree,accident,a,20110516_142800,3,0,0,0,1.0,1.0,1.0,1.0,1.0,46342,6255
[amateur_unit],2,4,ILP_config_NE_roots_subtree,accident,a,20110516_142800,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,46342,6255
[amateur_unit],2,5,ILP_config_NE_roots_subtree,accident,a,20110516_142800,0,3,0,0,1.0,0.0,0.0,0.0,0.0,46342,6255
[amateur_unit],2,6,ILP_config_NE_roots_subtree,accident,a,20110516_142800,0,0,0,0,1.0,1.0,1.0,1.0,1.0,46342,6255
[amateur_unit],2,7,ILP_config_NE_roots_subtree,accident,a,20110516_142800,0,1,0,0,1.0,0.0,0.0,0.0,0.0,46342,6255
[amateur_unit],2,8,ILP_config_NE_roots_subtree,accident,a,20110516_142800,2,0,3,0,0.4,1.0,0.5714285714285715,0.5714285714285715,0.5714285714285715,46342,6255
[amateur_unit],2,9,ILP_config_NE_roots_subtree,accident,a,20110516_142800,6,0,0,0,1.0,1.0,1.0,1.0,1.0,46342,6255
[amateur_unit],2,10,ILP_config_NE_roots_subtree,accident,a,20110516_142800,6,0,1,0,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.923076923076923,46342,6255
[amateur_unit],2,1,Paum,accident,a,20110516_142800,2,0,1,0,0.6666666666666666,1.0,0.8,0.8,0.8,26417,2351
[amateur_unit],2,2,Paum,accident,a,20110516_142800,3,0,0,0,1.0,1.0,1.0,1.0,1.0,26417,2351
[amateur_unit],2,3,Paum,accident,a,20110516_142800,3,0,5,0,0.375,1.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,26417,2351
[amateur_unit],2,4,Paum,accident,a,20110516_142800,4,1,3,0,0.5714285714285714,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,26417,2351
[amateur_unit],2,5,Paum,accident,a,20110516_142800,2,1,0,0,1.0,0.6666666666666666,0.8,0.8,0.8,26417,2351
[amateur_unit],2,6,Paum,accident,a,20110516_142800,0,0,2,0,0.0,1.0,0.0,0.0,0.0,26417,2351
