Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[cars],1,1,Paum,accident,a,20120519_184641,4,5,3,3,0.4,0.3333333333333333,0.3636363636363636,0.6363636363636365,0.5,-1,-1,2191,438
[cars],1,2,Paum,accident,a,20120519_184641,1,2,4,0,0.2,0.3333333333333333,0.25,0.25,0.25,-1,-1,2009,292
[cars],1,3,Paum,accident,a,20120519_184641,3,2,6,4,0.23076923076923078,0.3333333333333333,0.27272727272727276,0.6363636363636364,0.4545454545454546,-1,-1,2019,358
[cars],1,4,Paum,accident,a,20120519_184641,2,1,0,0,1.0,0.6666666666666666,0.8,0.8,0.8,-1,-1,2232,211
[cars],1,5,Paum,accident,a,20120519_184641,0,0,1,1,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,-1,-1,2263,292
[cars],1,6,Paum,accident,a,20120519_184641,2,3,2,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.6153846153846153,0.46153846153846145,-1,-1,2384,305
[cars],1,7,Paum,accident,a,20120519_184641,1,6,3,0,0.25,0.14285714285714285,0.18181818181818182,0.18181818181818182,0.18181818181818182,-1,-1,2257,396
[cars],1,8,Paum,accident,a,20120519_184641,2,0,1,1,0.5,0.6666666666666666,0.5714285714285715,0.8571428571428571,0.7142857142857143,-1,-1,2355,276
[cars],1,1,ILP,accident,a,20120519_184641,1,10,1,1,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.26666666666666666,0.2,33,44,202413,797
[cars],1,2,ILP,accident,a,20120519_184641,0,2,7,1,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,42,44,215094,1023
[cars],1,3,ILP,accident,a,20120519_184641,2,6,5,1,0.25,0.2222222222222222,0.23529411764705882,0.35294117647058826,0.29411764705882354,36,44,199373,1198
[cars],1,4,ILP,accident,a,20120519_184641,0,3,0,0,1.0,0.0,0.0,0.0,0.0,42,44,240695,704
[cars],1,5,ILP,accident,a,20120519_184641,0,1,0,0,1.0,0.0,0.0,0.0,0.0,44,44,242159,922
[cars],1,6,ILP,accident,a,20120519_184641,0,6,2,1,0.0,0.0,0.0,0.2,0.1,38,44,164253,897
[cars],1,7,ILP,accident,a,20120519_184641,0,5,2,2,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,38,43,207744,1198
[cars],1,8,ILP,accident,a,20120519_184641,2,1,2,0,0.5,0.6666666666666666,0.5714285714285715,0.5714285714285715,0.5714285714285715,42,43,234419,837
[damage],2,1,Paum,accident,a,20120519_185040,4,0,1,0,0.8,1.0,0.888888888888889,0.888888888888889,0.888888888888889,-1,-1,2154,287
[damage],2,2,Paum,accident,a,20120519_185040,1,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,2328,227
[damage],2,3,Paum,accident,a,20120519_185040,1,1,0,0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,2345,275
[damage],2,4,Paum,accident,a,20120519_185040,4,0,2,0,0.6666666666666666,1.0,0.8,0.8,0.8,-1,-1,2201,273
[damage],2,5,Paum,accident,a,20120519_185040,2,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,2136,325
[damage],2,6,Paum,accident,a,20120519_185040,2,0,1,0,0.6666666666666666,1.0,0.8,0.8,0.8,-1,-1,2287,229
[damage],2,7,Paum,accident,a,20120519_185040,3,0,2,0,0.6,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,-1,-1,2286,265
[damage],2,8,Paum,accident,a,20120519_185040,2,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,2198,296
[damage],2,1,ILP,accident,a,20120519_185040,3,1,0,0,1.0,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,16,44,27726,973
[damage],2,2,ILP,accident,a,20120519_185040,1,0,0,0,1.0,1.0,1.0,1.0,1.0,19,44,26058,760
[damage],2,3,ILP,accident,a,20120519_185040,2,0,0,0,1.0,1.0,1.0,1.0,1.0,18,44,32457,928
[damage],2,4,ILP,accident,a,20120519_185040,4,0,1,0,0.8,1.0,0.888888888888889,0.888888888888889,0.888888888888889,16,44,17678,914
[damage],2,5,ILP,accident,a,20120519_185040,1,1,0,0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,18,44,22820,1089
[damage],2,6,ILP,accident,a,20120519_185040,2,0,0,0,1.0,1.0,1.0,1.0,1.0,18,44,32562,773
[damage],2,7,ILP,accident,a,20120519_185040,1,2,0,0,1.0,0.3333333333333333,0.5,0.5,0.5,17,43,23061,896
[damage],2,8,ILP,accident,a,20120519_185040,1,1,0,0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,18,43,27062,985
[end_subtree],3,1,Paum,accident,a,20120519_190310,6,2,2,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7222222222222222,-1,-1,2292,260
[end_subtree],3,2,Paum,accident,a,20120519_190310,2,2,1,0,0.6666666666666666,0.5,0.5714285714285715,0.5714285714285715,0.5714285714285715,-1,-1,2290,217
[end_subtree],3,3,Paum,accident,a,20120519_190310,0,2,1,1,0.0,0.0,0.0,0.4,0.2,-1,-1,2283,251
[end_subtree],3,4,Paum,accident,a,20120519_190310,4,0,0,0,1.0,1.0,1.0,1.0,1.0,-1,-1,2323,217
[end_subtree],3,5,Paum,accident,a,20120519_190310,4,0,6,1,0.36363636363636365,0.8,0.5000000000000001,0.625,0.5625,-1,-1,2152,348
[end_subtree],3,6,Paum,accident,a,20120519_190310,5,3,6,1,0.4166666666666667,0.5555555555555556,0.4761904761904762,0.5714285714285715,0.5238095238095238,-1,-1,2156,321
[end_subtree],3,7,Paum,accident,a,20120519_190310,2,1,3,0,0.4,0.6666666666666666,0.5,0.5,0.5,-1,-1,2196,354
[end_subtree],3,8,Paum,accident,a,20120519_190310,4,1,4,0,0.5,0.8,0.6153846153846154,0.6153846153846154,0.6153846153846154,-1,-1,2195,334
[end_subtree],3,1,ILP,accident,a,20120519_190310,3,4,1,2,0.5,0.3333333333333333,0.4,0.6666666666666667,0.5333333333333334,33,44,67423,840
[end_subtree],3,2,ILP,accident,a,20120519_190310,0,4,1,0,0.0,0.0,0.0,0.0,0.0,38,44,99739,684
[end_subtree],3,3,ILP,accident,a,20120519_190310,1,2,0,0,1.0,0.3333333333333333,0.5,0.5,0.5,39,44,105773,816
[end_subtree],3,4,ILP,accident,a,20120519_190310,1,3,0,0,1.0,0.25,0.4,0.4,0.4,38,44,114928,681
[end_subtree],3,5,ILP,accident,a,20120519_190310,3,2,1,0,0.75,0.6,0.6666666666666665,0.6666666666666665,0.6666666666666665,37,44,98795,1102
[end_subtree],3,6,ILP,accident,a,20120519_190310,2,7,4,0,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.26666666666666666,0.26666666666666666,33,44,61837,1031
[end_subtree],3,7,ILP,accident,a,20120519_190310,1,2,1,0,0.5,0.3333333333333333,0.4,0.4,0.4,39,43,86081,1109
[end_subtree],3,8,ILP,accident,a,20120519_190310,0,5,2,0,0.0,0.0,0.0,0.0,0.0,37,43,86137,1047
[start],4,1,ILP,accident,a,20120519_190724,5,0,0,0,1.0,1.0,1.0,1.0,1.0,37,44,31457,941
[start],4,2,ILP,accident,a,20120519_190724,5,0,0,0,1.0,1.0,1.0,1.0,1.0,37,44,29093,979
[start],4,3,ILP,accident,a,20120519_190724,5,1,0,0,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,36,44,32180,934
[start],4,4,ILP,accident,a,20120519_190724,4,1,1,0,0.8,0.8,0.8000000000000002,0.8000000000000002,0.8000000000000002,37,44,22291,799
[start],4,5,ILP,accident,a,20120519_190724,4,1,0,0,1.0,0.8,0.888888888888889,0.888888888888889,0.888888888888889,37,44,28233,950
[start],4,6,ILP,accident,a,20120519_190724,4,1,0,0,1.0,0.8,0.888888888888889,0.888888888888889,0.888888888888889,37,44,23828,871
[start],4,7,ILP,accident,a,20120519_190724,6,0,1,0,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.923076923076923,36,43,29053,875
[start],4,8,ILP,accident,a,20120519_190724,5,0,0,0,1.0,1.0,1.0,1.0,1.0,37,43,28602,931
[start],4,1,Paum,accident,a,20120519_190724,5,0,4,0,0.5555555555555556,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,-1,-1,2163,292
[start],4,2,Paum,accident,a,20120519_190724,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,-1,-1,2139,292
[start],4,3,Paum,accident,a,20120519_190724,6,0,4,0,0.6,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,-1,-1,2177,281
[start],4,4,Paum,accident,a,20120519_190724,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,-1,-1,2221,230
[start],4,5,Paum,accident,a,20120519_190724,4,1,2,0,0.6666666666666666,0.8,0.7272727272727272,0.7272727272727272,0.7272727272727272,-1,-1,2176,286
[start],4,6,Paum,accident,a,20120519_190724,5,0,3,0,0.625,1.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,-1,-1,2229,263
[start],4,7,Paum,accident,a,20120519_190724,6,0,3,0,0.6666666666666666,1.0,0.8,0.8,0.8,-1,-1,2284,260
[start],4,8,Paum,accident,a,20120519_190724,5,0,7,0,0.4166666666666667,1.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,-1,-1,2264,273
[injuries],5,1,Paum,accident,a,20120519_192003,1,0,6,0,0.14285714285714285,1.0,0.25,0.25,0.25,-1,-1,2315,218
[injuries],5,2,Paum,accident,a,20120519_192003,4,1,6,0,0.4,0.8,0.5333333333333333,0.5333333333333333,0.5333333333333333,-1,-1,2162,319
[injuries],5,3,Paum,accident,a,20120519_192003,2,0,4,0,0.3333333333333333,1.0,0.5,0.5,0.5,-1,-1,2247,243
[injuries],5,4,Paum,accident,a,20120519_192003,2,0,3,0,0.4,1.0,0.5714285714285715,0.5714285714285715,0.5714285714285715,-1,-1,2246,297
[injuries],5,5,Paum,accident,a,20120519_192003,0,1,2,0,0.0,0.0,0.0,0.0,0.0,-1,-1,2264,239
[injuries],5,6,Paum,accident,a,20120519_192003,5,1,2,0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.7692307692307692,-1,-1,2269,250
[injuries],5,7,Paum,accident,a,20120519_192003,8,5,5,0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,-1,-1,2150,368
[injuries],5,8,Paum,accident,a,20120519_192003,1,2,9,0,0.1,0.3333333333333333,0.15384615384615383,0.15384615384615383,0.15384615384615383,-1,-1,2485,320
[injuries],5,1,ILP,accident,a,20120519_192003,1,0,0,0,1.0,1.0,1.0,1.0,1.0,32,44,94918,722
[injuries],5,2,ILP,accident,a,20120519_192003,0,5,0,0,1.0,0.0,0.0,0.0,0.0,28,44,84696,1006
[injuries],5,3,ILP,accident,a,20120519_192003,2,0,2,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,31,44,98076,794
[injuries],5,4,ILP,accident,a,20120519_192003,1,1,0,0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,31,44,92325,938
[injuries],5,5,ILP,accident,a,20120519_192003,1,0,0,0,1.0,1.0,1.0,1.0,1.0,32,44,103395,771
[injuries],5,6,ILP,accident,a,20120519_192003,5,1,0,0,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,27,44,82746,790
[injuries],5,7,ILP,accident,a,20120519_192003,5,8,4,0,0.5555555555555556,0.38461538461538464,0.4545454545454546,0.4545454545454546,0.4545454545454546,20,43,77480,1201
[injuries],5,8,ILP,accident,a,20120519_192003,1,2,1,0,0.5,0.3333333333333333,0.4,0.4,0.4,30,43,95237,1072
[fatalities],6,1,Paum,accident,a,20120519_192706,1,1,1,0,0.5,0.5,0.5,0.5,0.5,-1,-1,2131,293
