Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[purchaser],26,2,ILP_config_NE_roots,Key,a,20120514_040111,105,187,145,6,0.41015625,0.3523489932885906,0.37906137184115524,0.4007220216606498,0.3898916967509025,312,300,1168534,26647
[purchaser],26,1,Paum,Key,a,20120514_040111,176,133,163,17,0.4943820224719101,0.5398773006134969,0.5161290322580646,0.5659824046920822,0.5410557184750734,-1,-1,9706,10709
[purchaser],26,2,Paum,Key,a,20120514_040111,173,103,192,22,0.4470284237726098,0.5805369127516778,0.5051094890510949,0.5693430656934306,0.5372262773722627,-1,-1,10008,11047
[seller],27,1,Paum,Key,a,20120514_042340,28,94,91,5,0.22580645161290322,0.2204724409448819,0.22310756972111553,0.26294820717131473,0.24302788844621515,-1,-1,9679,10144
[seller],27,2,Paum,Key,a,20120514_042340,25,109,63,6,0.26595744680851063,0.17857142857142858,0.21367521367521367,0.26495726495726496,0.2393162393162393,-1,-1,9835,10457
[seller],27,1,ILP_config_NE_roots,Key,a,20120514_042340,19,105,71,3,0.20430107526881722,0.14960629921259844,0.17272727272727276,0.19999999999999998,0.18636363636363637,130,300,487854,26056
[seller],27,2,ILP_config_NE_roots,Key,a,20120514_042340,16,122,45,2,0.25396825396825395,0.11428571428571428,0.15763546798029557,0.17733990147783252,0.16748768472906406,125,300,753121,26402
[sellerabr],28,1,Paum,Key,a,20120514_043249,44,191,150,5,0.22110552763819097,0.18333333333333332,0.20045558086560367,0.22323462414578588,0.21184510250569477,-1,-1,9585,11145
[sellerabr],28,2,Paum,Key,a,20120514_043249,31,152,150,8,0.164021164021164,0.16230366492146597,0.16315789473684209,0.20526315789473684,0.18421052631578946,-1,-1,9748,11589
[sellerabr],28,1,ILP_config_NE_roots,Key,a,20120514_043249,15,225,19,0,0.4411764705882353,0.0625,0.10948905109489052,0.10948905109489052,0.10948905109489052,100,300,351354,26046
[sellerabr],28,2,ILP_config_NE_roots,Key,a,20120514_043249,7,182,36,2,0.15555555555555556,0.03664921465968586,0.059322033898305086,0.07627118644067797,0.06779661016949153,141,300,87147,26086
[acqabr],29,1,Paum,Key,a,20120514_051228,389,313,478,103,0.40103092783505156,0.4832298136645963,0.4383098591549296,0.5543661971830985,0.49633802816901407,-1,-1,9499,13404
[acqabr],29,2,Paum,Key,a,20120514_051228,337,215,441,93,0.3869115958668197,0.5224806201550387,0.4445910290237467,0.567282321899736,0.5059366754617414,-1,-1,10277,13211
[acqabr],29,1,ILP_config_NE_roots,Key,a,20120514_051228,140,657,140,8,0.4861111111111111,0.17391304347826086,0.2561756633119854,0.2708142726440988,0.26349496797804206,366,300,709407,27782
[acqabr],29,2,ILP_config_NE_roots,Key,a,20120514_051228,125,516,156,4,0.43859649122807015,0.1937984496124031,0.2688172043010753,0.27741935483870966,0.2731182795698925,472,300,1554344,26511
[dlramt],30,1,ILP_config,Key,a,20120514_061559,38,39,51,61,0.25333333333333335,0.2753623188405797,0.26388888888888895,0.6875,0.4756944444444445,145,300,1269502,30046
[dlramt],30,2,ILP_config,Key,a,20120514_061559,47,49,34,49,0.36153846153846153,0.32413793103448274,0.3418181818181818,0.6981818181818182,0.52,138,300,2426054,29971
[dlramt],30,1,Paum,Key,a,20120514_061559,87,43,52,8,0.5918367346938775,0.6304347826086957,0.6105263157894736,0.6666666666666666,0.6385964912280702,-1,-1,9613,9631
[dlramt],30,2,Paum,Key,a,20120514_061559,116,21,72,8,0.5918367346938775,0.8,0.6803519061583577,0.7272727272727274,0.7038123167155426,-1,-1,10315,9465
[acquired],31,1,ILP_config_NE_roots,Key,a,20120514_062951,106,217,146,19,0.39114391143911437,0.30994152046783624,0.3458401305057096,0.4078303425774878,0.3768352365415987,296,300,628310,26176
[acquired],31,2,ILP_config_NE_roots,Key,a,20120514_062951,85,242,139,14,0.35714285714285715,0.24926686217008798,0.2936096718480138,0.3419689119170985,0.3177892918825561,298,300,90717,27149
[acquired],31,1,Paum,Key,a,20120514_062951,167,137,178,38,0.4360313315926893,0.48830409356725146,0.46068965517241384,0.5655172413793104,0.5131034482758621,-1,-1,9924,11557
[acquired],31,2,Paum,Key,a,20120514_062951,177,135,207,29,0.42857142857142855,0.5190615835777126,0.4694960212201591,0.5464190981432361,0.5079575596816976,-1,-1,9395,11782
[purchabr],32,1,ILP_config_NE_roots,Key,a,20120514_071028,109,502,203,7,0.34169278996865204,0.17637540453074432,0.2326574172892209,0.24759871931696903,0.24012806830309497,431,300,878800,26729
[purchabr],32,2,ILP_config_NE_roots,Key,a,20120514_071028,91,543,153,11,0.3568627450980392,0.14108527131782947,0.20222222222222222,0.22666666666666668,0.21444444444444444,395,300,1441630,27748
[purchabr],32,1,Paum,Key,a,20120514_071028,319,235,422,64,0.39627329192546584,0.5161812297734628,0.44834855938158824,0.5382993675333803,0.49332396345748425,-1,-1,10104,12856
[purchabr],32,2,Paum,Key,a,20120514_071028,357,238,471,50,0.40660592255125283,0.5534883720930233,0.46881155613919895,0.5344714379514117,0.5016414970453054,-1,-1,9573,13300
[purchaser],33,1,ILP_config_NE_roots,Key,a,20120514_073913,121,180,162,18,0.4019933554817276,0.3793103448275862,0.3903225806451613,0.4483870967741936,0.41935483870967744,288,300,508836,27095
[purchaser],33,2,ILP_config_NE_roots,Key,a,20120514_073913,117,178,173,10,0.39,0.3836065573770492,0.38677685950413226,0.4198347107438017,0.403305785123967,309,300,1104440,26626
[purchaser],33,1,Paum,Key,a,20120514_073913,179,119,208,21,0.4387254901960784,0.5611285266457681,0.4924346629986245,0.5502063273727648,0.5213204951856947,-1,-1,9868,11142
[purchaser],33,2,Paum,Key,a,20120514_073913,169,119,139,17,0.52,0.5540983606557377,0.5365079365079365,0.5904761904761905,0.5634920634920635,-1,-1,10248,11178
[seller],34,1,Paum,Key,a,20120514_074924,29,111,84,3,0.25,0.20279720279720279,0.2239382239382239,0.24710424710424714,0.23552123552123552,-1,-1,9423,10660
[seller],34,2,Paum,Key,a,20120514_074924,31,87,86,6,0.25203252032520324,0.25,0.2510121457489879,0.29959514170040485,0.2753036437246964,-1,-1,10404,10214
[seller],34,1,ILP_config_NE_roots,Key,a,20120514_074924,22,116,42,5,0.3188405797101449,0.15384615384615385,0.20754716981132076,0.25471698113207547,0.23113207547169812,113,300,429312,27053
[seller],34,2,ILP_config_NE_roots,Key,a,20120514_074924,5,118,26,1,0.15625,0.04032258064516129,0.0641025641025641,0.07692307692307691,0.07051282051282051,142,300,73991,25581
[sellerabr],35,1,ILP_config_NE_roots,Key,a,20120514_075903,24,202,28,0,0.46153846153846156,0.10619469026548672,0.1726618705035971,0.1726618705035971,0.1726618705035971,113,300,403037,26459
[sellerabr],35,2,ILP_config_NE_roots,Key,a,20120514_075903,3,200,8,2,0.23076923076923078,0.014634146341463415,0.027522935779816515,0.045871559633027525,0.03669724770642202,128,300,66210,25895
[sellerabr],35,1,Paum,Key,a,20120514_075903,56,165,143,5,0.27450980392156865,0.24778761061946902,0.2604651162790697,0.2837209302325581,0.2720930232558139,-1,-1,9598,11534
[sellerabr],35,2,Paum,Key,a,20120514_075903,47,148,156,10,0.22065727699530516,0.22926829268292684,0.22488038277511962,0.2727272727272727,0.24880382775119617,-1,-1,9753,11439
