name,freq
KOVÁČOVÁ,5847.11459
ŠÍMOVÁ,5812.090276
VAŠÍČKOVÁ,5759.553806
MALÍKOVÁ,5753.71642
NOSKOVÁ,5732.312673
HANUŠOVÁ,5728.421083
BURIANOVÁ,5683.667793
DOHNALOVÁ,5670.047226
KROUPOVÁ,5666.155636
LUKEŠOVÁ,5635.022913
GREGOROVÁ,5586.378033
ŠVARCOVÁ,5584.432237
KUBÁTOVÁ,5564.974285
VODIČKOVÁ,5510.49202
ŠEBESTOVÁ,5506.600429
DUFKOVÁ,5489.088272
CHALOUPKOVÁ,5481.305092
KOMÁRKOVÁ,5475.467706
VAŠKOVÁ,5467.684525
POLÁČKOVÁ,5452.118163
TOMKOVÁ,5450.172368
SOBOTKOVÁ,5409.310669
JIRÁSKOVÁ,5405.419079
VLACHOVÁ,5378.177946
ZAJÍČKOVÁ,5358.719994
ŠEDIVÁ,5267.267619
MRÁZOVÁ,5261.430233
PROKEŠOVÁ,5255.592848
SLEZÁKOVÁ,5247.809667
FOJTÍKOVÁ,5175.815244
STARÁ,5171.923654
KUCHAŘOVÁ,5138.845136
ŽÁČKOVÁ,5113.549798
KOPŘIVOVÁ,5111.604003
KALINOVÁ,5103.820822
SMETANOVÁ,5092.146051
SIKOROVÁ,5086.308665
PETERKOVÁ,5053.230147
ČERVENÁ,5025.989014
KOUDELKOVÁ,4973.452543
PŘIKRYLOVÁ,4948.157205
VLASÁKOVÁ,4934.536639
VEČEŘOVÁ,4930.645049
KARÁSKOVÁ,4928.699253
MIKEŠOVÁ,4928.699253
BURDOVÁ,4924.807663
HOFMANOVÁ,4917.024482
HORKÁ,4864.488012
VONDRÁČKOVÁ,4862.542216
MAJEROVÁ,4856.704831
ŠTĚRBOVÁ,4852.81324
BARTOŇOVÁ,4845.03006
ŠEBKOVÁ,4839.192674
BOHÁČOVÁ,4819.734722
PÁNKOVÁ,4813.897336
ONDRÁČKOVÁ,4782.764613
CHALUPOVÁ,4769.144047
KOCOURKOVÁ,4747.740299
PETŘÍKOVÁ,4728.282347
DIVIŠOVÁ,4720.499167
ADAMOVÁ,4710.77019
UHLÍŘOVÁ,4677.691672
MARTINKOVÁ,4675.745877
KUNCOVÁ,4667.962696
DOLEŽELOVÁ,4650.450539
JINDROVÁ,4640.721563
DUDOVÁ,4629.046792
KOUBOVÁ,4599.859864
ZAJÍCOVÁ,4576.510321
VÁCLAVÍKOVÁ,4564.83555
HAVRÁNKOVÁ,4555.106574
KOČOVÁ,4555.106574
BAUEROVÁ,4520.08226
RADOVÁ,4516.19067
COUFALOVÁ,4471.43738
KVAPILOVÁ,4444.196247
KULHÁNKOVÁ,4430.575681
ZAHRADNÍKOVÁ,4426.684091
BERKOVÁ,4422.7925
KŘÍŽKOVÁ,4403.334548
MINAŘÍKOVÁ,4401.388753
TRÁVNÍČKOVÁ,4378.03921
SKÁLOVÁ,4360.527054
ZAVADILOVÁ,4354.689668
BARTÁKOVÁ,4311.882174
ČEJKOVÁ,4309.936378
FRANKOVÁ,4302.153198
VANÍČKOVÁ,4265.183089
TUČKOVÁ,4259.345703
DRÁBKOVÁ,4251.562522
MIKOVÁ,4251.562522
HAMPLOVÁ,4245.725137
KUBEŠOVÁ,4222.375594
MAREČKOVÁ,4218.484004
KŘIVÁNKOVÁ,4200.971847
HOVORKOVÁ,4197.080256
ŘEZÁČOVÁ,4185.405485
SMEJKALOVÁ,4181.513895
HANZLÍKOVÁ,4173.730714
FORMÁNKOVÁ,4171.784919
ŽIŽKOVÁ,4169.839124
FRANCOVÁ,4154.272762
LUKÁŠOVÁ,4150.381172
UHROVÁ,4142.597991
BÍLÁ,4136.760605
ŠIMONOVÁ,4123.140039
ŠKODOVÁ,4119.248448
ČERVINKOVÁ,4117.302653
MELICHAROVÁ,4111.465267
TROJANOVÁ,4107.573677
HUBÁČKOVÁ,4078.386749
ZATLOUKALOVÁ,4068.657773
KOUTNÁ,4064.766183
VÍTOVÁ,4064.766183
KOCIÁNOVÁ,4060.874592
VÁCHOVÁ,4053.091411
PELIKÁNOVÁ,4031.687664
SKLENÁŘOVÁ,4031.687664
NEUMANNOVÁ,3996.66335
ŠUBRTOVÁ,3981.096989
BALÁŽOVÁ,3979.151194
KOSOVÁ,3977.205398
DOBEŠOVÁ,3959.693241
BLAHOVÁ,3949.964265
NEČASOVÁ,3928.560518
HRADILOVÁ,3903.265181
KUBÍNOVÁ,3889.644614
VEVERKOVÁ,3885.753024
KOZLOVÁ,3883.807229
KOŠŤÁLOVÁ,3870.186662
KUBOVÁ,3864.349276
MORÁVKOVÁ,3854.6203
SOCHOROVÁ,3837.108144
POPELKOVÁ,3819.595987
VALOVÁ,3817.650192
SEIDLOVÁ,3811.812806
HOROVÁ,3809.867011
MATUŠKOVÁ,3807.921216
HOUDKOVÁ,3792.354854
HUDCOVÁ,3786.517468
BOČKOVÁ,3765.113721
KOLAŘÍKOVÁ,3763.167926
PRAŽÁKOVÁ,3759.276335
MALINOVÁ,3757.33054
KUPKOVÁ,3755.384745
MARTINCOVÁ,3724.252022
SMOLÍKOVÁ,3718.414636
RYŠAVÁ,3706.739865
JANÍKOVÁ,3695.065094
LANGOVÁ,3691.173503
SAMKOVÁ,3673.661346
ŠAFRÁNKOVÁ,3673.661346
VÁGNEROVÁ,3673.661346
SKALICKÁ,3667.823961
ELIÁŠOVÁ,3661.986575
KAFKOVÁ,3646.420214
ŠIMŮNKOVÁ,3646.420214
HRDINOVÁ,3644.474418
JANÍČKOVÁ,3628.908057
JONÁŠOVÁ,3625.016466
ČÁPOVÁ,3621.124876
LORENCOVÁ,3613.341695
ŠTEFKOVÁ,3605.558514
BUCHTOVÁ,3603.612719
PEKÁRKOVÁ,3597.775333
HLOUŠKOVÁ,3574.425791
VALÁŠKOVÁ,3568.588405
MŰLLEROVÁ,3539.401477
KŘENKOVÁ,3529.672501
SIVÁKOVÁ,3523.835116
PRŮŠOVÁ,3517.99773
NEJEDLÁ,3502.431368
ZELINKOVÁ,3488.810802
MUCHOVÁ,3481.027621
LANGEROVÁ,3477.136031
POLÍVKOVÁ,3471.298645
LACINOVÁ,3449.894898
PLACHÁ,3449.894898
NEDVĚDOVÁ,3440.165922
CHLÁDKOVÁ,3434.328536
MAŘÍKOVÁ,3434.328536
BUČKOVÁ,3420.70797
HUDEČKOVÁ,3418.762175
KRÁLÍKOVÁ,3412.924789
ZELENÁ,3409.033199
ŠMEJKALOVÁ,3397.358427
SMUTNÁ,3387.629451
VACULÍKOVÁ,3383.737861
SCHNEIDEROVÁ,3350.659342
ZEMÁNKOVÁ,3327.3098
VYSKOČILOVÁ,3321.472414
SOJKOVÁ,3319.526619
HYNKOVÁ,3302.014462
BRÁZDOVÁ,3284.502305
HLAVATÁ,3282.55651
HOLÍKOVÁ,3266.990149
BAREŠOVÁ,3261.152763
DOUBKOVÁ,3259.206968
BALOGOVÁ,3257.261173
VOTAVOVÁ,3249.477992
KOSTKOVÁ,3245.586401
DOČKALOVÁ,3239.749016
VANĚČKOVÁ,3235.857425
HUSÁKOVÁ,3231.965835
PRCHALOVÁ,3230.02004
JANKŮ,3220.291064
KOUBKOVÁ,3210.562088
ŠESTÁKOVÁ,3210.562088
KARASOVÁ,3208.616292
HOMOLOVÁ,3198.887316
KOLÁČKOVÁ,3189.15834
ČERVEŇÁKOVÁ,3187.212545
KLEINOVÁ,3187.212545
ANTOŠOVÁ,3181.37516
SOKOLOVÁ,3179.429364
HOMOLKOVÁ,3158.025617
JAKUBCOVÁ,3154.134027
HERMANOVÁ,3150.242436
BÖHMOVÁ,3134.676075
PILAŘOVÁ,3130.784484
PLAČKOVÁ,3128.838689
MIKULOVÁ,3126.892894
HAŠKOVÁ,3113.272327
MENŠÍKOVÁ,3113.272327
ZIMOVÁ,3105.489147
TOMÁNKOVÁ,3101.597556
MATULOVÁ,3099.651761
VONDROVÁ,3097.705966
VOJTOVÁ,3095.760171
SLAVÍČKOVÁ,3070.464833
VERNEROVÁ,3070.464833
CHYTILOVÁ,3056.844267
KOHOUTKOVÁ,3051.006881
STUCHLÍKOVÁ,3051.006881
LUDVÍKOVÁ,3049.061086
CÍSAŘOVÁ,3041.277905
JANOVSKÁ,3033.494724
KOTKOVÁ,3031.548929
ŠIMEČKOVÁ,3025.711543
HÁLOVÁ,3021.819953
MACHALOVÁ,3012.090977
KLEMENTOVÁ,3008.199386
KUDRNOVÁ,3008.199386
RAŠKOVÁ,3006.253591
SMRČKOVÁ,3006.253591
DOLEJŠOVÁ,2994.57882
GABRIELOVÁ,2994.57882
