name,freq
ŠTĚRBA,4716.316992
KOUBA,4671.554708
PETŘÍK,4667.48541
DOLEŽEL,4657.312163
VÁCLAVÍK,4651.208215
CHALUPA,4639.00032
JINDRA,4632.896372
ADAM,4620.688476
RADA,4586.099439
COUFAL,4569.822245
UHLÍŘ,4567.787596
ZAJÍC,4533.198558
TOMEK,4531.163909
KUNC,4516.921364
ZAHRADNÍK,4498.609521
MINAŘÍK,4492.505573
JIRÁSEK,4484.366976
VAŠEK,4478.263028
ZAVADIL,4466.055132
HAVRÁNEK,4459.951185
KULHÁNEK,4429.431446
TRÁVNÍČEK,4413.154252
KVAPIL,4390.77311
BAUER,4376.530565
VEČEŘA,4364.322669
BALÁŽ,4337.872229
PECH,4319.560386
ŠKODA,4317.525736
SKÁLA,4301.248542
KŘIVÁNEK,4254.451609
BÍLÝ,4246.313012
FORMÁNEK,4217.827922
PETERKA,4215.793273
UHER,4211.723975
MAREČEK,4209.689325
HOVORKA,4205.620027
SMEJKAL,4191.377482
DRÁBEK,4173.065639
LANGER,4171.030989
ČEJKA,4158.823094
ŽIŽKA,4148.649847
VANÍČEK,4138.476601
BARTÁK,4114.06081
HUBÁČEK,4114.06081
MELICHAR,4114.06081
LUKÁŠ,4112.026161
SKLENÁŘ,4091.679668
TUČEK,4087.61037
BERKA,4083.541071
ZATLOUKAL,4077.437123
ŘEZÁČ,4071.333175
MARTINEK,4059.12528
KOCIÁN,4048.952034
HANZLÍK,4036.744138
KOUTNÝ,4034.709489
ČERVINKA,4010.293698
TROJAN,3985.877906
HAMPL,3983.843257
DOBEŠ,3977.739309
ŠIMON,3977.739309
PELIKÁN,3973.670011
VEVERKA,3969.600712
KOŠŤÁL,3957.392817
FRANC,3945.184921
VÁCHA,3918.734481
KOZEL,3914.665182
KŘÍŽEK,3886.180093
HRADIL,3884.145443
KUPKA,3869.902898
NEČAS,3867.868249
NEUMANN,3853.625704
KOS,3835.313861
MORÁVEK,3825.140615
VÍT,3817.002018
SIVÁK,3810.89807
SMOLÍK,3808.863421
JONÁŠ,3782.41298
VÁGNER,3782.41298
KUBEŠ,3770.205085
HORA,3762.066487
POPELKA,3755.96254
MALINA,3753.92789
RYŠAVÝ,3747.823943
HRDINA,3731.546749
KUBÍN,3731.546749
ŠUBRT,3725.442801
BOČEK,3717.304204
LORENC,3707.130957
HOUDEK,3703.061659
JANÍK,3703.061659
BUCHTA,3678.645868
ELIÁŠ,3674.576569
ČÁP,3672.54192
ŠAFRÁNEK,3666.437972
MARTINEC,3664.403323
LANG,3631.848935
BALOG,3615.571741
SKALICKÝ,3613.537091
PRAŽÁK,3611.502442
PEKÁREK,3601.329196
HLOUŠEK,3599.294546
KOLAŘÍK,3597.259897
KAFKA,3578.948054
VALÁŠEK,3574.878755
ŠIMŮNEK,3570.809457
KŘENEK,3558.601561
SEIDL,3554.532263
POLÍVKA,3534.18577
JANÍČEK,3528.081822
ZELENÝ,3503.666031
VYSKOČIL,3501.631382
VACULÍK,3497.562083
LACINA,3495.527434
PRŮŠA,3489.423486
SOCHOR,3462.973046
ZEMÁNEK,3460.938397
KRÁLÍK,3454.834449
MUCHA,3440.591904
NEJEDLÝ,3440.591904
VALA,3440.591904
ČERVEŇÁK,3420.245411
ZELINKA,3420.245411
JANKŮ,3416.176113
NEDVĚD,3410.072165
BLAHA,3406.002866
GÁBOR,3395.82962
SMUTNÝ,3393.794971
PLACHÝ,3377.517777
MŰLLER,3357.171284
MAŘÍK,3355.136635
SAMEK,3351.067336
BAREŠ,3349.032687
ŠMEJKAL,3346.998038
HUDEČEK,3340.89409
HOMOLA,3304.270403
CHLÁDEK,3298.166455
SCHNEIDER,3292.062508
DOČKAL,3287.993209
HOLÍK,3285.95856
DOUBEK,3267.646717
ŠESTÁK,3263.577418
BRÁZDA,3253.404172
SOJKA,3251.369522
KOSTKA,3245.265575
KUBA,3214.745836
HOMOLKA,3212.711186
VOTAVA,3208.641888
LUDVÍK,3200.503291
KLEIN,3196.433992
HYNEK,3194.399343
ANTOŠ,3192.364694
PILAŘ,3192.364694
TOMÁNEK,3192.364694
HUSÁK,3186.260746
KOUBEK,3184.226097
MENŠÍK,3178.122149
VERNER,3178.122149
PRCHAL,3172.018201
HLAVATÝ,3169.983552
VANĚČEK,3147.60241
HERMAN,3141.498462
KARAS,3141.498462
JAKUBEC,3139.463813
DEMETER,3137.429164
KOLÁČEK,3137.429164
PECHA,3110.978723
SLABÝ,3102.840126
KAŠPÁREK,3084.528283
STUCHLÍK,3082.493634
MACHALA,3076.389686
VONDRA,3066.216439
MATULA,3062.147141
HÁLA,3056.043193
ČONKA,3043.835298
KOHOUTEK,3041.800648
ZIMA,3039.765999
MATUŠKA,3035.696701
BUČEK,3031.627402
PLAČEK,3027.558103
DANIEL,3019.419506
VOJÁČEK,3015.350208
JANOVSKÝ,3013.315559
KOTEK,3013.315559
SOKOL,3009.24626
CHOVANEC,3007.211611
ZBOŘIL,3007.211611
VOJTA,3001.107663
KOUŘIL,2997.038365
BÖHM,2976.691872
ŠIMEČEK,2974.657223
DOLEJŠ,2964.483976
ZÁMEČNÍK,2954.31073
POLÁCH,2944.137484
ZÁRUBA,2938.033536
CHYTIL,2935.998887
FERENC,2931.929588
VALEŠ,2931.929588
KLEMENT,2927.86029
KUDRNA,2923.790991
CÍSAŘ,2917.687043
SCHWARZ,2917.687043
KREJČÍK,2915.652394
MIKULA,2903.444498
DUDEK,2874.959409
PAŘÍZEK,2870.89011
ŠAFÁŘ,2868.855461
WOLF,2868.855461
GABRIEL,2866.820812
HRON,2866.820812
SPÁČIL,2866.820812
ČIHÁK,2856.647565
SLAVÍČEK,2856.647565
FRANĚK,2834.266423
DUBSKÝ,2832.231774
POSPÍCHAL,2822.058528
SLOVÁK,2822.058528
MARŠÁLEK,2820.023879
ŠOLC,2817.989229
